Property Name,Property Id,Breadcrumbs,Price,Image URL,Description,Seller Name,Location,Property Type,Bathrooms,Bedrooms
2bhk semi furnished flat for rent at Calicut,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '2bhk semi furnished flat for rent at Calicut']","{'amount': '21', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3xme8hn2h3oz1-IN/image;s=850x0,2bhk semi furnished flat for rent at Calicut,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2 Bedroom Flat for Rent at Calicut City,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in YMCA Cross Road', '2 Bedroom Flat for Rent at Calicut City']","{'amount': '40', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sgxgwgj9hyse3-IN/image;s=850x0,"Luxury Living at its Best! Experience the epitome of comfort and elegance with our exquisite 2 BHK luxury flat for rent in Calicut. This fully furnished flat is available for a monthly rent of just 40,000 Rs.",THOMAS ASSOCIATES REALTORS,"YMCA Cross Road, Kozhikode, Kerala",Apartments,2,2
Rooms4 Bachelor’s nd couples Rent SingleRoom 7000 DoubleRoom 5000 Each,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kallai', 'Rooms4 Bachelor’s nd couples Rent SingleRoom 7000 DoubleRoom 5000 Each']","{'amount': '5', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6gr8jxnrpfr92-IN/image;s=850x0,"For Monthly Rent Only. Single and Double Bedroom Available. (Attached Bathroom) Near Iqra Hospital, Opp Kallayi Railway Station calicut.",NEW EVEREST LODGE,"Kallai, Kozhikode, Kerala",Builder Floors,1,1
Flat for lease,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill', 'Flat for lease']","{'amount': '5', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/h1v5hembi75b1-IN/image;s=850x0,Flat for sale ,Xavier Michael,"West Hill, Kozhikode, Kerala",Apartments,1,1
House for rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', 'House for rent']","{'amount': '10', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/m54cq783jjbx2-IN/image;s=850x0,House for rent (first floor),Amrutha,"Kottuli, Kozhikode, Kerala",Houses & Villas,1,2
House for rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevayoor', 'House for rent']","{'amount': '30', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ydbma9oprcnb3-IN/image;s=850x0,Near to presentation school,House for rent,"Chevayoor, Kozhikode, Kerala",Houses & Villas,2,3
C10 Devi apartment,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Puthiyara', 'C10 Devi apartment']","{'amount': '17', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/prgfj4hbd53a3-IN/image;s=850x0,Close to city centre,Rakesh,"Puthiyara, Kozhikode, Kerala",Apartments,2,2
Two storeyed house for rent-suitable for hostel and commercial purpose,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Arayedathupalam', 'Two storeyed house for rent-suitable for hostel and commercial purpose']","{'amount': '38', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/6b85p2yaiq3s1-IN/image;s=850x0,"House for rent near Baby Memorial Hospital, Calicut suitable for hostel and other commercial accomodation",shintu,"Arayedathupalam, Kozhikode, Kerala",Houses & Villas,3,4+
4bhk bachelers or family at pottammal,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal', '4bhk bachelers or family at pottammal']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/q1svhrxte41x2-IN/image;s=850x0,4bhk well water  new home,Rental properties,"Pottammal, Kozhikode, Kerala",Houses & Villas,4,4
Duplex 4bhk with all amenities,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevarambalam', 'Duplex 4bhk with all amenities']","{'amount': '35', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/t08r57lcg4xc1-IN/image;s=850x0,A Duplex 4 bhk is available for renting in the heart of Kozhikode city in Chevarambalam near NH bypass. Landmark is pets mall. The house is accessible also via Vellimadukunnu. All amenities are at walkable distance. Families and working bachelors are preferred.,punnia viswan,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,4,4
Calicut town house 4 rent,8,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Parayanchery', 'Calicut town house 4 rent']","{'amount': '12', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/16gmewrj8sik2-IN/image;s=850x0,Calicut  town near Kalyan jewellery prayancherry house for rent (adv)30000 rent 12000,SHERINE,"Parayanchery, Kozhikode, Kerala",Houses & Villas,1,2
