Property Name,Property Id,Breadcrumbs,Price,Image URL,Description,Seller Name,Location,Property Type,Bathrooms,Bedrooms,Property URL
3bhk villa for rent at Vengeri Calicut,1743320665,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thadambattuthazham', '3bhk villa for rent at Vengeri Calicut']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sgcbecy22gtz2-IN/image;s=850x0,"3bhk, unfurnished, 24 hrs security, water connection, club house, interlocked roads, 900 mtrs from NH 66, 1 km from thadambatuthazham",Vibin P,"Thadambattuthazham, Kozhikode, Kerala",Houses & Villas,3,3,https://www.olx.in/item/3bhk-villa-for-rent-at-vengeri-calicut-iid-1743320665
Studio fully furnished flat for rent at Thondayad bypass,1678342508,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for rent at Thondayad bypass']","{'amount': '19', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/sw9mzv6x2ayp2-IN/image;s=850x0,Studio fully furnished flat for rent at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/studio-fully-furnished-flat-for-rent-at-thondayad-bypass-iid-1678342508
Brand New luxury furnished studio flat for rent near hilite mall,1711397744,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Brand New luxury furnished studio flat for rent near hilite mall']","{'amount': '18', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ok4p78r1fszi3-IN/image;s=850x0,Brand New luxury furnished studio flat for rent near hilite mall,PN PROPERTIES,"Thondayad, Kozhikode, Kerala",Apartments,1,1,https://www.olx.in/item/brand-new-luxury-furnished-studio-flat-for-rent-near-hilite-mall-iid-1711397744
പുത്തൻ ഫ്ലാറ്റിൽ ആദ്യതാമസക്കാരാവാം,1626325331,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'പുത്തൻ ഫ്ലാറ്റിൽ ആദ്യതാമസക്കാരാവാം']","{'amount': '28', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/k28i0ij9e6qe1-IN/image;s=850x0,Looking for an rental Flat in kochi? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/-iid-1626325331
വാടക വില പേശി Brokees നൽകുമ്പോൾ പിന്നെന്തിനു tension,1626323058,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'വാടക വില പേശി Brokees നൽകുമ്പോൾ പിന്നെന്തിനു tension']","{'amount': '22', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/jichamf57rkn1-IN/image;s=850x0,Looking for a rental apartment in Calicut??,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/brokees-tension-iid-1626323058
"സാധനം കയ്യിലുണ്ടോ ,എന്നാൽ കാലി ഫ്ലാറ്റ് എടുത്തോളൂ  Brokees",1625648126,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'സാധനം കയ്യിലുണ്ടോ ,എന്നാൽ കാലി ഫ്ലാറ്റ് എടുത്തോളൂ  Brokees']","{'amount': '23', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/3d1p5v2up946-IN/image;s=850x0,Looking for an rental in kochi? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3,https://www.olx.in/item/brokees-iid-1625648126
ഫർണിച്ചർ വീട്ടിലുണ്ടോ?എന്നാൽ കാലി ഫ്ലാറ്റ് വാടകയ്ക്കു എടുക്കാം,1625316656,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഫർണിച്ചർ വീട്ടിലുണ്ടോ?എന്നാൽ കാലി ഫ്ലാറ്റ് വാടകയ്ക്കു എടുക്കാം']","{'amount': '19', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/idiqlev6aupa-IN/image;s=850x0,Looking for an rental Flat in kozhikode? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/-iid-1625316656
നല്ല ഇടം ഞങ്ങൾ നൽകാം,1735002522,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'നല്ല ഇടം ഞങ്ങൾ നൽകാം']","{'amount': '25', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/40v1a66n5rmc2-IN/image;s=850x0,Get your appointment with Brokees now,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/-iid-1735002522
സുന്ദരി ഫ്ലാറ്റിൽ നിന്നാലോ,1734225404,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'സുന്ദരി ഫ്ലാറ്റിൽ നിന്നാലോ']","{'amount': '20', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qafb7vlqirg41-IN/image;s=850x0,Get your appointment with brokees now,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/-iid-1734225404
ഫ്ലാറ്റ് നന്നായി നോക്കാമോ? വാടക കുറയ്ക്കാം,1613373744,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'ഫ്ലാറ്റ് നന്നായി നോക്കാമോ? വാടക കുറയ്ക്കാം']","{'amount': '24', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/hdybj7yg76om1-IN/image;s=850x0,Looking for a rental option in Kochi? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2,https://www.olx.in/item/-iid-1613373744
