property_link,property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,img_url,breadcrumbs,amenities,description
https://www.bayut.com/property/details-7657984.html,Bayut - DUB237666_L,For Rent,Villa,6 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '295,000'}","Maple 1, Maple, Dubai Hills Estate, Dubai","{'bedrooms': 5, 'bathrooms': 4, 'size': '3,005 sqft'}",6524299484,Chloe Cromar,https://images.bayut.com/thumbnails/402751291-800x600.jpeg,Dubai Villas > Dubai Hills Estate > Maple > Maple 1 > Bayut - DUB237666_L,[],"Green Belt | Close To Pool | Vacant Now, Standpoint Real Estate is pleased to present this 5-bedroom townhouse in Maple 1, Dubai Hills Estate., - 5 Bedrooms, - 4 Bathrooms, - Maids Room, - Type 3E, - 2 Balconies, - Large Garden, - Close to Pool and Park, - Backing Green Belt, - En-suit bathroom, - Covered secured double parking, - Reference no: DUB, - Call Chloe at, This freshly painted and landscaped townhouse offers an abundance of natural light to help you feel more energized! Whether you love to relax or entertain, the spacious layout and upstairs balcony offer space for the whole family to enjoy this modern gem close to the heart of Dubai., For further details about our company, please contact our Head Office on, . Alternatively, visit our website at www. standpointrealestate. ae where you will find a large collection of properties, we have that are available both for sale and for rent., Please call Chloe at, , for more information about this property or to arrange a viewing with the agent direct."
https://www.bayut.com/property/details-7683047.html,Bayut - 6775-DmJgKL,For Rent,Villa,12 July 2023,Unfurnished,"{'currency': 'AED', 'amount': '280,000'}","Cedre Villas, Dubai Silicon Oasis, Dubai","{'bedrooms': 5, 'bathrooms': 6, 'size': '6,440 sqft'}",6712101972,Adil Mehmood,https://images.bayut.com/thumbnails/408152115-800x600.jpeg,Dubai Villas > Dubai Silicon Oasis > Cedre Villas > Bayut - 6775-DmJgKL,"['Balcony or Terrace', 'Parking Spaces', ': 2', 'Maids Room', 'Swimming Pool', 'Parking Spaces', ': 2', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Barbeque Area', 'Cafeteria or Canteen', 'Security Staff', 'CCTV Security', 'Intercom', '24 Hours Concierge', 'Maids Room', 'Freehold']","""Unleash Your Dreams: Immerse Yourself in Opulence with our 5-Bedroom Independent Villa in Cedre Community, Silicon Oasis"", Welcome to the epitome of luxurious living in Dubai Silicon Oasis's prestigious Cedre community. This magnificent 5-bedroom independent villa with a dedicated maid room offers an exceptional lifestyle that surpasses expectations., Step into a realm of contemporary elegance as you enter the spacious foyer, leading you to the grand living spaces. The villa boasts five generously sized bedrooms, each thoughtfully designed providing privacy and comfort for every member of your family., With meticulous attention to detail, this villa features high-quality finishes and exquisite fixtures throughout. The modern kitchen is a culinary haven, equipped with top-of-the-line appliances and ample storage space for all your cooking needs., The villa's maid room provides convenient accommodation for your household staff, ensuring seamless and discreet service. Indulge in the serene beauty of the landscaped garden, a perfect setting for outdoor relaxation and entertainment., Residents of Cedre community enjoy access to a host of exclusive amenities, including swimming pools, fitness centers, parks, and 24-hour security. Experience a lifestyle of unparalleled luxury in this exceptional 5-bedroom villa with a maid room in Cedre community, Dubai Silicon Oasis."
https://www.bayut.com/property/details-7919141.html,Bayut - AY-R-THDSTNCTN0004,For Rent,Apartment,11 September 2023,Furnished,"{'currency': 'AED', 'amount': '199,900'}","DAMAC Maison The Distinction, Downtown Dubai, Dubai","{'bedrooms': 3, 'bathrooms': 3, 'size': '2,158 sqft'}",6511457800,Ayoub Omar,https://images.bayut.com/thumbnails/464625441-800x600.jpeg,Dubai Apartments > Downtown Dubai > DAMAC Maison The Distinction > Bayut - AY-R-THDSTNCTN0004,"['Furnished', 'Balcony or Terrace', 'Swimming Pool', 'Jacuzzi', 'Furnished', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Kids Play Area', 'Cafeteria or Canteen', 'Security Staff', 'CCTV Security']","7 States Real Estate is proud to present this 3 Bedroom Apartment in Damac The Distinction Business Bay., Boasting stunning views from each of its fifty-two floors, DAMAC Royale The Distinction offers a choice of fully serviced deluxe rooms as well as one, twoand three-bedroom suites that are com haven onthe Dubai skyline & at the center of the city. Apartment details:, plemented by a full kitchen. The five-starproperty s amenities, including spa, recreational facilities, health club,amongst others, will ensure guests enjoy their stay at this five-star, * Fully furnished, * High floor, * Full Burj Khalifa view, * Spacious bedroom, * Built-in wardrobes, * Equipped kitchen, * Smart flat-screen TV, * Central A/C, * Balcony, Available Networked :, *CCTV cameras, *Concierge Service, *Children's play area, *Dining in building, *Gym, *Laundry/dry cleaning, *Steam and sauna, *Lobby in building, *Valet parking, * Prayer room, * Shared pool, * Security, Downtown Dubai is the city’s busy tourism hub Home to thetowering Burj Khalifa skyscraper, with its observation deck, and t he dancing Dubai Fountain where crowds gather to watch music and light shows"
https://www.bayut.com/property/details-7919207.html,Bayut - AY-R-THDSTNCTN0005,For Rent,Apartment,11 September 2023,Furnished,"{'currency': 'AED', 'amount': '149,900'}","DAMAC Maison The Distinction, Downtown Dubai, Dubai","{'bedrooms': 2, 'bathrooms': 3, 'size': '1,320 sqft'}",6511457800,Ayoub Omar,https://images.bayut.com/thumbnails/464657045-800x600.jpeg,Dubai Apartments > Downtown Dubai > DAMAC Maison The Distinction > Bayut - AY-R-THDSTNCTN0005,"['Furnished', 'Balcony or Terrace', 'Swimming Pool', 'Jacuzzi', 'Furnished', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Lobby in Building', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Kids Play Area', 'Security Staff', 'CCTV Security']","7 States Real Estate is proud to present this 2 Bedroom Apartment in Damac The Distinction Business Bay., Boasting stunning views from each of its fifty-two floors, DAMAC Royale The Distinction offers a choice of fully serviced deluxe rooms as well as one, twoand three-bedroom suites that are com haven onthe Dubai skyline & at the center of the city. Apartment details:, plemented by a full kitchen. The five-starproperty s amenities, including spa, recreational facilities, health club,amongst others, will ensure guests enjoy their stay at this five-star, * Fully furnished, * High floor, * Full Burj Khalifa view, * Spacious bedroom, * Built-in wardrobes, * Equipped kitchen, * Smart flat-screen TV, * Central A/C, * Balcony, Available Networked :, *CCTV cameras, *Concierge Service, *Children's play area, *Dining in building, *Gym, *Laundry/dry cleaning, *Steam and sauna, *Lobby in building, *Valet parking, * Prayer room, * Shared pool, * Security, Downtown Dubai is the city’s busy tourism hub Home to thetowering Burj Khalifa skyscraper, with its observation deck, and t he dancing Dubai Fountain where crowds gather to watch music and light shows"
https://www.bayut.com/property/details-7932906.html,Bayut - 5312-D3NM4i,For Rent,Apartment,14 September 2023,Unfurnished,"{'currency': 'AED', 'amount': '120,000'}","Safi Apartments 2A, Safi Apartments, Town Square, Dubai","{'bedrooms': 3, 'bathrooms': 4, 'size': '2,257 sqft'}",7123004260,Saeed Mohammad,https://images.bayut.com/thumbnails/469223498-800x600.jpeg,Dubai Apartments > Town Square > Safi Apartments > Safi Apartments 2A > Bayut - 5312-D3NM4i,[],"Seven Century Real Estate is proud to present this furnished 3 Bedroom apartment available for rent. Located in Safi 2A, Town Square, Dubai, this 2,257 SQFT apartment is perfect for families who seek a cozy and comfortable place to reside in. The building also facilitates a gym with state-of-the-art equipment and a swimming pool., Property Details:, - 3 Bedroom, - 3.5 Bathroom, - Size: 2,257 SQFT As per the Title Deed, - With Wardrobes, - Unique Layout, - With Balcony, - Covered Parking, - Vacant & Ready to Move in, Price Details:, - Renting Price: AED 120,000/-, - Security Deposit: 5%, For more information regarding this property, Do not hesitate to contact Mr. Saeed, Visit sevencentury. com to find a huge selection of properties available both for Sale and Rent. Seven Century Real Estate provides Holiday Homes, Property Management, Offplan, and Commercial and Facility Management services as well., Buyers, Sellers, and Tenants can contact us anytime. Thank you for choosing Seven Century Real Estate!, Viewing of the property is also available on weekends (Friday, Saturday, and Sunday)"
https://www.bayut.com/property/details-7834595.html,Bayut - 102783-2Cfu8r,For Rent,Apartment,21 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '105,000'}","Hartland Waves, Sobha Hartland, Dubai","{'bedrooms': 2, 'bathrooms': 2, 'size': '858 sqft'}",71359126867,Sahabzada Zabee Ullah,https://images.bayut.com/thumbnails/438219882-800x600.jpeg,Dubai Apartments > Sobha Hartland > Hartland Waves > Bayut - 102783-2Cfu8r,"['Balcony or Terrace', 'Parking Spaces', ': 1', 'Swimming Pool', 'Total Floors', ': 35', 'Electricity Backup', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Elevators in Building', ': 8', 'Service Elevators', 'Completion Year', ': 2023', 'Reception/Waiting Room', 'Total Floors', ': 35', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Kids Play Area', 'Lawn or Garden', 'Barbeque Area', 'Waste Disposal', 'Maintenance Staff', 'Security Staff', 'CCTV Security', 'Laundry Room', 'ATM Facility', '24 Hours Concierge', 'View', 'Freehold']","SHARK Real Estate is excited to introduce our brand new luxurious 2 Bedroom Apartment for Rent in Sobha Hartland Waves , Mohammed Bin Rashid City , Dubai, Let Me introduce you our luxurious 2 Bedroom Apartment for AED 100,000 Per Year., Features/Amenities, • 2 Bedroom, • 2 Bathroom, • 857 Square-feet, - Brand New never used before, • High end finishing, • Balcony, • Open kitchen, • Infinity Edge Pool, • Gymnasium, • Retail Outlets, • 24/7 Security, • CCTV, • Lagoons & Downtown View, • BBQ Zone, • Kids Pool, • Kids Play Area, Location Nearby, • Downtown, • Dubai Creek, • Meydan One Mall, • Meydan Racecourse, • Ras Al Khor Wildlife Sanctuary, Contact :"
https://www.bayut.com/property/details-7928196.html,Bayut - han-std-HSS325am,For Rent,Apartment,13 September 2023,Furnished,"{'currency': 'AED', 'amount': '35,000'}","Hanover Square, JVC District 10, Jumeirah Village Circle (JVC), Dubai","{'bedrooms': None, 'bathrooms': 1, 'size': '395 sqft'}",123456789,FAIZAN MAQBOOL,https://images.bayut.com/thumbnails/467678983-800x600.jpeg,Dubai Apartments > Jumeirah Village Circle (JVC) > JVC District 10 > Hanover Square > Bayut - han-std-HSS325am,"['Furnished', 'Balcony or Terrace', 'Swimming Pool', 'Jacuzzi', 'Furnished', 'Electricity Backup', 'Centrally Air-Conditioned', 'Double Glazed Windows', 'Storage Areas', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'First Aid Medical Center', 'Gym or Health Club', 'Swimming Pool', 'Jacuzzi', 'Sauna', 'Steam Room', 'Day Care Center', 'Kids Play Area', 'Lawn or Garden', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV']",proudly present to you fully furnished and fully upgraded
https://www.bayut.com/property/details-7723902.html,Bayut - RO-R-21-1393,For Rent,Apartment,24 July 2023,Furnished,"{'currency': 'AED', 'amount': '110,000'}","The Bay, Business Bay, Dubai","{'bedrooms': 1, 'bathrooms': 2, 'size': '844 sqft'}",71393403702,Wadhwa Kanayo Nichaldas,https://images.bayut.com/thumbnails/472055766-800x600.jpeg,Dubai Apartments > Business Bay > The Bay > Bayut - RO-R-21-1393,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', 'Jacuzzi', 'Furnished', 'Parking Spaces', 'Centrally Air-Conditioned', 'Balcony or Terrace', 'Jacuzzi', 'Sauna', 'Steam Room', 'Laundry Room', 'View']","Rocky Real Estate highly recommends this brand new apartment in The Bay, Business bay., * Built-up size: 844 square feet, * Fully furnished, * Built-in Wardrobes, * With Balcony, * View: Creek Harbour View, * Ensuite Room, * Laundry Room, * Equipped Kitchen, * A/C: District cooling, * Pets Friendly, * 1 car parking, * Vacant units, * On a high floor, Amenities:, * Separate pools for adults and kids, * A large and fully equipped gym, * Sauna, * Swimming pool, * Smoke detectors, * Sprinkler system, * Fire extinguisher, * Bus stop, * Metro station, * Restaurants, * Supermarkets, * Pharmacy, * Hotels, Landmarks:, * Terminal 1 Airport (15 minutes away), * Burj Khalifa (10 minutes away), * Museum of the Future (11 minutes away), * Dubai Water Canal Walk (5 minutes away), * Reference number: RO-R, The Bay is a 21-storey residential building in Business Bay, Dubai. The substructure contains two basement levels which are dedicated to parking. The Bay is the newest and only turnkey project in Business bay with 320 urban apartments., For enquiries and exclusive viewing, call Wadhwa Kanayo (BRN#6591) at, or email us at, We’re happy to assist you from 9 am to 6 pm (Monday to Friday), 9 am to 2 pm (Saturday)., Rocky Real Estate offers residential and commercial real estate services in Dubai since 1976 | Specializing in sales, leasing, property investments and management | 2017 Top 10 Real Estate Consultants in the Arab World by Forbes Middle East., View more properties at www. rockyrealestate. com"
https://www.bayut.com/property/details-7797390.html,Bayut - DUB195422,For Rent,Villa,11 August 2023,Unfurnished,"{'currency': 'AED', 'amount': '200,000'}","Mira 2, Mira, Reem, Dubai","{'bedrooms': 4, 'bathrooms': 4, 'size': '2,524 sqft'}",6582677080,,https://images.bayut.com/thumbnails/430114635-800x600.jpeg,Dubai Villas > Reem > Mira > Mira 2 > Bayut - DUB195422,['Balcony or Terrace'],"4 Bedroom | Available September  | Type 2E, - Type 2E, - BUA:  2,524 Sq Ft, - Semi Detached, - Landscaped Garden, - 4 Bedrooms, - Maid, - Agent: Harry Howlett on, This villa is situated in the beautiful community of Mira. The villa comprises of kitchen, guest bathroom, four bedrooms and also a maids on the ground floor. The first floor then has three spacious bedrooms, each with en-suite with the master also benefiting from a walk-in wardrobe and balcony. To the front of the villa is a closed garage with enough parking for two cars., Please contact our Head Office on, , alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent., Please call Harry Howlett on, for more information on this particular listing ., Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details."
https://www.bayut.com/property/details-7787583.html,Bayut - Giproperties-5572225,For Rent,Apartment,9 August 2023,Furnished,"{'currency': 'AED', 'amount': '95,000'}","Studio One Tower, Dubai Marina, Dubai","{'bedrooms': 1, 'bathrooms': 1, 'size': '591 sqft'}",7135745486,,https://images.bayut.com/thumbnails/433042324-800x600.jpeg,Dubai Apartments > Dubai Marina > Studio One Tower > Bayut - Giproperties-5572225,"['Furnished', 'Balcony or Terrace', 'Parking Spaces', ': 1', 'Swimming Pool', 'Furnished', 'Electricity Backup', 'Parking Spaces', ': 1', 'Centrally Air-Conditioned', 'Central Heating', 'Double Glazed Windows', 'Balcony or Terrace', 'Lobby in Building', 'Service Elevators', 'Reception/Waiting Room', 'Gym or Health Club', 'Swimming Pool', 'Sauna', 'Steam Room', 'Kids Play Area', 'Waste Disposal', 'Maintenance Staff', 'Cleaning Services', 'Security Staff', 'CCTV Security', 'Broadband Internet', 'Satellite/Cable TV', 'Intercom', '24 Hours Concierge', 'Freehold']","This magnificent High Floor 1 bedroom apartment for rent with Prime Sea View in the heart of Dubai Marina, located at The Studio One, is proudly offered by GI Properties., Unit Features:, ■ Furnished, ■ Balcony, ■ 1 Bedroom, ■ Size: 591.26 SQFT, ■ Modern and Bright Interior Finish, ■ Floor-to-ceiling Windows, The apartment offers a distinctive fusion of luxury, elegance, and well designed living space. With a laid-back beach ambiance and the exciting adrenaline of Dubai Marina, it offers a tranquil haven in the middle of the city's busy pulse., Amenities:, ■ Sea/water view, ■ Lobby in building, ■ Security, ■ Shared Gym, ■ Shared Pool, ■ Basement Parking, ■ Near Public Transport, Studio One is located near Bluewater's Island and close to the four-star Wyndham hotel., Unveiling an unrivaled lifestyle in the heart of Dubai's most vibrant waterfront community - this 1-bedroom jewel in the trendy Studio One Tower is currently vacant and ready for its new owner., Gi Properties is an intelligent professional matchmaker that has continued to give the most outstanding,, one-of-a-kind real estate services to meet the diverse needs of investors and real estate clients, whether residential or commercial in the UAE market., Gi’s achievements are the result of Bold, Disciplined & Committed people gathered together, & has grown due to Customer re-satisfaction and word of mouth."
