property_url,title,reference_no,purpose,type,added_on,furnishing,currency,amount,location,bedrooms,bathrooms,size,agent_name,img_url,breadcrumbs,description
https://www.bayut.eg/en/property/details-199101913.html,SODIC EAST  - فيلا ( طابقين ) مجهزة للاستلام الفوري بقلب مدينة الشروق,Bayut - SmZUn7-199101913,For Sale,Villa,13 October 2023,,EGP,"2,000,000","Shorouk City, Cairo",3 Beds,3 Baths,246 Sq. M.,MOHA YEHIA,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3859233-800x600.jpeg,Cairo Villas,استمتع بسحر الطبيعة والهدوء والخصوصية داخل كمبوند سوديك ايست الشروق
https://www.bayut.eg/en/property/details-199092836.html,شقه للبيع 140 متر فى كمبوند بلو فيرت Blu Vert العاصمه الاداريه,Bayut - m3d8LM-199092836,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"3,711,000","Blue Vert, New Capital City, Cairo",2 Beds,2 Baths,140 Sq. M.,Laplage Group Real Estate,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3813647-800x600.jpeg,Cairo Apartments,شقه للبيع فى العاصمه الاداريه بكمبوند Blu Vert من الشركه السعوديه المصرية
https://www.bayut.eg/en/property/details-199096795.html,ستاندالون بماونتن فيو بقلب اكتوبر بجوار مول العرب  - Mountain view,Bayut - mBOpe8-199096795,For Sale,Villa,12 October 2023,,EGP,"22,254,107","Mountain View Chillout Park, 6th of October, Giza",5 Beds,4 Baths,310 Sq. M.,User 3nd3fC,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3823559-800x600.jpeg,Giza Villas,فيلا جاهزة ع الاستلام في Mountain view Cillout Park بفيو مميز على لاند سكيب وقسط على 84 شهر بدون فوائد
https://www.bayut.eg/en/property/details-199093808.html,شقة للبيع بتسهيلات تصل الى 10 سنين في كمبوند المقصد العاصمة الادارية,Bayut - PqBeX5-199093808,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"2,200,000","Al Maqsad, New Capital City, Cairo",3 Beds,2 Baths,122 Sq. M.,Haidy Ahmed,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3682750-800x600.jpeg,Cairo Apartments,شقة للبيع بتسهيلات تصل الى 10 سنين في كمبوند المقصد العاصمة الادارية
https://www.bayut.eg/en/property/details-199095544.html,شقة كاملة التشطيب للبيع بالتقسيط في فيليت سوديك Villette Sodic,Bayut - srw573-199095544,For Sale,Apartment,12 October 2023,,EGP,"10,900,000","Villette, New Cairo, Cairo",3 Beds,3 Baths,190 Sq. M.,Egyproperty,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3816569-800x600.jpeg,Cairo Apartments,Code 10216
https://www.bayut.eg/en/property/details-199093582.html,فيلا 5غرف مساحة مفتوحة استلام فوري بأفضل فيو في كايرو فيستيفال,Bayut - XrOkhx-199093582,For Sale,Villa,12 October 2023,Unfurnished,EGP,"37,000,000","Cairo Festival City, New Cairo, Cairo",5 Beds,5 Baths,420 Sq. M.,Irtkaz Real Estate,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3681669-800x600.jpeg,Cairo Villas,فيلا للبيع بمساحات واسعار مختلفة بالقاهرة الجديدة - كمبوند كايرو فيستيفال سيتى
https://www.bayut.eg/en/property/details-199091734.html,شقة للبيع كمبوند نيوم علي أميز فيو في المستقبل سيتي,Bayut - zuY1JU-199091734,For Sale,Apartment,12 October 2023,,EGP,"470,500","Mostakbal City, Cairo",3 Beds,2 Baths,148 Sq. M.,mohamed ramadan,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3678167-800x600.jpeg,Cairo Apartments,شقة للبيع علي أميز واحلي فيو جولف في المستقبل سيتي
https://www.bayut.eg/en/property/details-199091256.html,شقة للبيع فى البوسـكو سيـتى مديـنه المستقيل سيـتـى,Bayut - Y2gJv9-199091256,For Sale,Apartment,12 October 2023,,EGP,"610,600","IL Bosco City, Mostakbal City, Cairo",3 Beds,2 Baths,156 Sq. M.,mohamed ramadan,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3676776-800x600.jpeg,Cairo Apartments,شقة للبيـع فى البــوسـكـو سيـتى مديــنـه المستقيل سيـتـى il bosco city
https://www.bayut.eg/en/property/details-199092062.html,فيلا للبيع في مدينتي t اميز فيو علي جولف استلام فوري 1200م,Bayut - ID199092062,For Sale,Villa,12 October 2023,Unfurnished,EGP,"100,000,000","Madinaty, Madinaty, Cairo",4 Beds,4 Baths,601 Sq. M.,انجاز العقارية,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3866023-800x600.jpeg,Cairo Villas,فيلا للبيع في  مدينتي نموذج  T  من نماذج فيلات مدينتي الاكثر تميزا من حيث الاطلاله والمسحات الممتازة
https://www.bayut.eg/en/property/details-199091808.html,شقتك في الشروق امام ماي فير طلعت مصطفي استلام فوري @,Bayut - ID199091808,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"4,546,898","Shorouk City, Cairo",3 Beds,3 Baths,209 Sq. M.,Meraki Developments,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3865163-800x600.jpeg,Cairo Apartments,عايز تتعاقد و تستلم في نفس اليوم ؟
https://www.bayut.eg/en/property/details-199091063.html,شقه للبيع 103م /مقدم 340 ألف/استلام فورى ومتشطبة /كمبوند المقصد,Bayut - ID199091063,For Sale,Apartment,12 October 2023,,EGP,"3,399,000","Al Maqsad, New Capital City, Cairo",2 Beds,1 Bath,103 Sq. M.,LandBank,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3862419-800x600.jpeg,Cairo Apartments,باستثمارة حجز 100 الف مستردة
https://www.bayut.eg/en/property/details-199091045.html,شقة استلام فوري في المثلث الذهبي بمدينه الشروق . .,Bayut - ID199091045,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"4,011,314","Shorouk City, Cairo",3 Beds,3 Baths,238 Sq. M.,Meraki Developments,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3862378-800x600.jpeg,Cairo Apartments,*تمويل عقاري للمصرين بالخارج . .
https://www.bayut.eg/en/property/details-199090511.html,امتلك شقتك ب مدينتي 116م استلام فوري كاش او بالتقسيط ب b12,Bayut - ID199090511,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"1,500,000","Madinaty, Madinaty, Cairo",3 Beds,2 Baths,116 Sq. M.,osama,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3859478-800x600.jpeg,Cairo Apartments,اغتننم الفرصه وامتلك شقة 116م استلام فوري بالتقسيط ع 7 سنوات
https://www.bayut.eg/en/property/details-199090921.html,للبيع فيلا 239م في كمبوند سراي Sarai القاهرة الجديدة مرحلة فيلات فقط,Bayut - ID199090921,For Sale,Townhouse,12 October 2023,Unfurnished,EGP,"5,247,000","Sarai, Mostakbal City, Cairo",7 Beds,5 Baths,239 Sq. M.,Sara,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3860895-800x600.jpeg,Cairo Townhouses,S. V للبيع مساحة 239متر 3 أدوار.
https://www.bayut.eg/en/property/details-199090655.html,hot deal apartment resale MV icity شقة ريسيل في اي سيتي باقل مقدم,Bayut - ID199090655,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"1,640,000","Mountain View iCity, New Cairo, Cairo",3 Beds,3 Baths,150 Sq. M.,Trademark,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3859717-800x600.jpeg,Cairo Apartments,شقة للبيع
https://www.bayut.eg/en/property/details-199090643.html,بدون مقدم استلم شقتك و قسط علي 15 سنه . .,Bayut - ID199090643,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"4,142,969","Shorouk City, Cairo",3 Beds,3 Baths,243 Sq. M.,Meraki Developments,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3859683-800x600.jpeg,Cairo Apartments,44*بالتعاون مع شركة العربي الافريقي امتلك وحدتك وقسط علي ١٥ سنة . .
https://www.bayut.eg/en/property/details-199090633.html,Apartment 108 M For Sale In Zed East New Cairo شقه للبيع فى زيد أيست,Bayut - ID199090633,For Sale,Apartment,12 October 2023,,EGP,"7,000,000","Zed East, New Cairo, Cairo",2 Beds,2 Baths,108 Sq. M.,Trademark,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3859639-800x600.jpeg,Cairo Apartments,HOT OFFER!
https://www.bayut.eg/en/property/details-199092066.html,شقه للبيع 128 متر في كمبوند بلوم فيلدز المستقبل سيتي bloomfield,Bayut - qq1iPG-199092066,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"6,771,000","Bloomfields, Mostakbal City, Cairo",2 Beds,2 Baths,128 Sq. M.,Laplage Group Real Estate,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3866156-800x600.jpeg,Cairo Apartments,شقه للبيع في بلوم فيلدز بمدينه المستقبل القاهره الجديده
https://www.bayut.eg/en/property/details-199092034.html,شقه للبيع 129متر+45جاردن في كمبوند بلوم فيلدز المستقبل سيتي bloomfield,Bayut - ghRLH8-199092034,For Sale,Apartment,12 October 2023,Unfurnished,EGP,"7,722,000","Bloomfields, Mostakbal City, Cairo",2 Beds,2 Baths,129 Sq. M.,Laplage Group Real Estate,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3866145-800x600.jpeg,Cairo Apartments,شقه للبيع في بلوم فيلدز بمدينه المستقبل القاهره الجديده
https://www.bayut.eg/en/property/details-199084944.html,شقة 216 متر RESALE في اكتوبر بلازا بسعر مميز استلام فوري OCTOBER PLAZA,Bayut - ID199084944,For Sale,Apartment,11 October 2023,Unfurnished,EGP,"5,600,000","October Plaza Sodic, 6th of October, Giza",3 Beds,3 Baths,216 Sq. M.,Assets Real Estate Consultancy,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3755050-800x600.jpeg,Giza Apartments,شقة RESALE للبيع في اكتوبر بلازا بسعر مميز لسرعة البيع.
https://www.bayut.eg/en/property/details-199084889.html,شقة للبيع متشطبة في كمبوند address east التجمع 140م وقسط على 5 سنين,Bayut - ID199084889,For Sale,Apartment,11 October 2023,Unfurnished,EGP,"1,175,000","The Address East, New Cairo, Cairo",3 Beds,2 Baths,140 Sq. M.,AMG Real Estate,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3754991-800x600.jpeg,Cairo Apartments,شقة مميزة جدا بالتشطيبات في كمبوند أدريس للبيع بسعر مميز
https://www.bayut.eg/en/property/details-199078475.html,#11 بسعر مميز شقه للبيع استلام سنه بالتشطيب تقسيط التجمع ADDRESS EAST,Bayut - ID199078475,For Sale,Apartment,11 October 2023,,EGP,"7,100,000","The Address East, New Cairo, Cairo",3 Beds,2 Baths,180 Sq. M.,MAHMOUD MAGED,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3639172-800x600.jpeg,Cairo Apartments,فرصه بسعر تنافسى
https://www.bayut.eg/en/property/details-199084261.html,"للبيع توين هاوس 276م نموذج ""H""  استلام فوري بمقدم وأقساط حتي 2030",Bayut - ID199084261,For Sale,Twin House,11 October 2023,Unfurnished,EGP,"4,200,000","Madinaty, Madinaty, Cairo",3 Beds,3 Baths,276 Sq. M.,Location Investments,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3740268-800x600.jpeg,Cairo Twin Houses,"فيلا ثنائيه للبيع بالتقسيط في مدينتي نموذج ""H"" في المرحله الثانيه"
https://www.bayut.eg/en/property/details-199083514.html,امتلك شقتك ب مدينتي 116م استلام فوري كاش او بالتقسيط ب b12,Bayut - ID199083514,For Sale,Apartment,11 October 2023,Unfurnished,EGP,"1,200,000","Madinaty, Madinaty, Cairo",3 Beds,2 Baths,116 Sq. M.,osama,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3723535-800x600.jpeg,Cairo Apartments,اغتننم الفرصه وامتلك شقة 116م استلام فوري بالتقسيط ع 7 سنوات
https://www.bayut.eg/en/property/details-199082171.html,شقه للبيع بكمبوند YARU بالعاصمه الاداريه الجديده,Bayut - ID199082171,For Sale,Apartment,11 October 2023,Unfurnished,EGP,"1,272,000","New Capital City, Cairo",2 Beds,2 Baths,106 Sq. M.,Marseille Investment,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3683625-800x600.jpeg,Cairo Apartments,*شقه مساحة : *106m*
https://www.bayut.eg/en/property/details-199082070.html,ڤيلا فاخره 420متر بجانب مول 1 الرحاب بتشطيب فاخر للبيع بالفرش والاجهزه,Bayut - ID199082070,For Sale,Villa,11 October 2023,Furnished,EGP,"30,000,000","Rehab City, New Cairo, Cairo",4 Beds,3 Baths,420 Sq. M.,Muhaned,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3683406-800x600.jpeg,Cairo Villas,Villa at  Rehab city
https://www.bayut.eg/en/property/details-199080692.html,شقة للبيع كامل التشطيب في اويست (تلوى),Bayut - ID199080692,For Sale,Apartment,11 October 2023,Unfurnished,EGP,"9,171,054","O West, 6th of October, Giza",3 Beds,3 Baths,170 Sq. M.,iskan west,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3677402-800x600.jpeg,Giza Apartments,شقة للبيع كامل التشطيب في اويست (تلوى)
https://www.bayut.eg/en/property/details-199077192.html,فيلا منفصله 500 متر تشطيب سوبر لوكس بكمبوند قصور فقط رويال سيتي,Bayut - ID199077192,For Sale,Villa,10 October 2023,Unfurnished,EGP,"30,750,000","Royal City, Sheikh Zayed, Giza",5 Beds,7 Baths,500 Sq. M.,Fatma Mahmoud,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3604671-800x600.jpeg,Giza Villas,الشيخ زايد كمبوند رويال ستيي
https://www.bayut.eg/en/property/details-199073978.html,سكاي لوفت ف ماونتن فيو mountain view ب مقدم و اقساط على بحيرات صناعية,Bayut - ID199073978,For Sale,Penthouse,10 October 2023,Unfurnished,EGP,"5,295,000","Mountain View iCity, New Cairo, Cairo",3 Beds,3 Baths,155 Sq. M.,Eng.Ahmed Sarhan (4C),https://bayut-eg-production.s3.amazonaws.com/thumbnails/3599447-800x600.jpeg,Cairo Penthouses,سكاي لوفت 155م + رووف 90م
https://www.bayut.eg/en/property/details-199074027.html,شقة ارضي ب حديقة في ماونتن فيو mountain view على اقوى فيو داخل المشروع,Bayut - ID199074027,For Sale,Apartment,10 October 2023,Unfurnished,EGP,"5,900,000","Mountain View iCity, New Cairo, Cairo",3 Beds,3 Baths,165 Sq. M.,Eng.Ahmed Sarhan (4C),https://bayut-eg-production.s3.amazonaws.com/thumbnails/3599463-800x600.jpeg,Cairo Apartments,شقة ارضي + حديقة  165م + حديقة 170م
https://www.bayut.eg/en/property/details-199074140.html,اي فيلا في ماونتن فيو اي سيتي mountain view icity مقدم و اقساط على فيو,Bayut - ID199074140,For Sale,Duplex,10 October 2023,Unfurnished,EGP,"6,500,000","Mountain View iCity, New Cairo, Cairo",3 Beds,3 Baths,190 Sq. M.,Eng.Ahmed Sarhan (4C),https://bayut-eg-production.s3.amazonaws.com/thumbnails/3599537-800x600.jpeg,Cairo Duplexes,اي فيلا جاردن 190م + حديقة 40م
https://www.bayut.eg/en/property/details-199074397.html,شقة 165م في ماونتن فيو اي سيتي Mountain view icity على اللجون مباشرة,Bayut - ID199074397,For Sale,Apartment,10 October 2023,Unfurnished,EGP,"5,400,000","Mountain View iCity, New Cairo, Cairo",3 Beds,3 Baths,165 Sq. M.,Eng.Ahmed Sarhan (4C),https://bayut-eg-production.s3.amazonaws.com/thumbnails/3600313-800x600.jpeg,Cairo Apartments,شقة على اللجون مباشرة 165م
https://www.bayut.eg/en/property/details-199072994.html,للبيع شقة 131 م بكمبوند بادية بمقدم 235 ألف - 6 أكتوبر اقساط 10 سنوات,Bayut - ID199072994,For Sale,Apartment,10 October 2023,,EGP,"4,687,400","Badya Palm Hills, 6th of October, Giza",2 Beds,1 Bath,131 Sq. M.,LandBank,https://bayut-eg-production.s3.amazonaws.com/thumbnails/3596764-800x600.jpeg,Giza Apartments,Compound Badya Palm Hills October
